lemma,correct,total,accuracy,overall_accuracy
e x e ɾ s ˈe ɾ,6274,7920,79.21583333333334,79.22
e n ɾ o x e s ˈe ɾ,2063,2640,78.1425,78.14
f u l ç ˈi ɾ,2062,2640,78.1075,78.11
p e ɾ m a n e s ˈe ɾ,4115,5280,77.935,77.94
e m u n ç ˈe ɾ,4103,5280,77.7075,77.71
i n f ɾ i n ç ˈi ɾ,2023,2640,76.6275,76.63
d e p o n ˈe ɾ,2020,2640,76.515,76.52
e m p o b ɾ e s ˈe ɾ,2006,2640,75.985,75.98
m a n t e n ˈe ɾ,2000,2640,75.7575,75.76
m u l ç ˈe ɾ,5957,7920,75.21416666666666,75.21
a t a ɾ d e s ˈe ɾ,3911,5280,74.0725,74.07
d i s t ɾ a ˈe ɾ,1951,2640,73.9,73.9
d e s k o s ˈe ɾ,811,1100,73.72749999999999,73.73
e n k a n e s ˈe ɾ,1944,2640,73.63749999999999,73.64
d e s k o m p o n ˈe ɾ,3819,5280,72.33,72.33
e n s o ɾ d e s ˈe ɾ,1888,2640,71.515,71.52
e k i b a l ˈe ɾ,5646,7920,71.28833333333334,71.29
e n n e ɡ ɾ e s ˈe ɾ,1879,2640,71.175,71.17
d e s a ɡ ɾ a d e s ˈe ɾ,3658,5280,69.28125,69.28
k a ˈe ɾ,1806,2640,68.41,68.41
ɾ e t ɾ o t ɾ a ˈe ɾ,1800,2640,68.1825,68.18
l a n ɡ i d e s ˈe ɾ,3599,5280,68.16375,68.16
ɾ e b l a n d e s ˈe ɾ,1797,2640,68.07,68.07
a n t e d e s ˈi ɾ,5387,7920,68.01833333333333,68.02
k o n d e s ˈi ɾ,1753,2640,66.4025,66.4
k o r e ç ˈi ɾ,1718,2640,65.075,65.08
ʃ u k s t a p o n ˈe ɾ,1672,2640,63.3325,63.33
e n a l t e s ˈe ɾ,1662,2640,62.9525,62.95
m a l d e s ˈi ɾ,4910,7920,61.99583333333334,61.99
b a l b u s ˈi ɾ,1575,2640,59.66,59.66
ɾ e t o ɾ s ˈe ɾ,1549,2640,58.6725,58.67
k o m p a d e s ˈe ɾ,1542,2640,58.41,58.41
d e s a s ˈe ɾ,4017,7040,69.55375000000001,57.06
d e s f a b o ɾ e s ˈe ɾ,1501,2640,56.855000000000004,56.86
ɡ w a ɾ e s ˈe ɾ,4315,7920,54.482499999999995,54.48
e n n o b l e s ˈe ɾ,1426,2640,54.015,54.02
ɾ e f u l ç ˈi ɾ,1408,2640,53.3325,53.33
e n o ɾ ɡ u ʃ e s ˈe ɾ,2757,5280,52.2175,52.22
m e ɾ e s ˈe ɾ,1364,2640,51.667500000000004,51.67
o b t e n ˈe ɾ,4078,7920,51.490833333333335,51.49
ɾ e a b a s t e s ˈe ɾ,1358,2640,51.44,51.44
x a k ˈi ɾ,1355,2640,51.325,51.33
a k a e s ˈe ɾ,1342,2640,50.832499999999996,50.83
e m p o d ɾ e s ˈe ɾ,1315,2640,49.8125,49.81
s u p e ɾ b e n ˈi ɾ,1089,2640,41.25,41.25
t ɾ a n s i ç ˈi ɾ,1070,2640,40.53,40.53
s u b ʃ a s ˈe ɾ,1026,2640,38.8625,38.86
e n m o e s ˈe ɾ,1726,5280,32.69,32.69
a d ʃ a s ˈe ɾ,1714,5280,32.4625,32.46
d e s a s ˈi ɾ,1100,3520,31.25,31.25
k o n b e n s ˈe ɾ,2261,7920,28.548333333333332,28.55
ɾ e e s t a b l e s ˈe ɾ,660,2640,25.0,25.0
b e n d e s ˈi ɾ,632,2640,23.9375,23.94
k o n t ɾ a a s ˈe ɾ,1333,7920,16.830833333333334,16.83
s o b ɾ e s a l ˈi ɾ,438,2640,16.5925,16.59
p ɾ e e s t a b l e s ˈe ɾ,282,2640,10.6825,10.68
ɡ w a ɾ n e s ˈe ɾ,0,2640,0.0,0.0
