model,condition,run,lemma,correct,total,accuracy
50L_50NL_1_2,50L_50NL,1,e n f l a k e s ˈe ɾ,538,660,81.52
50L_50NL_1_3,50L_50NL,1,e n f l a k e s ˈe ɾ,385,660,58.33
50L_50NL_1_4,50L_50NL,1,e n f l a k e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e n k a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,e n k a ɾ e s ˈe ɾ,562,660,85.15
50L_50NL_1_3,50L_50NL,1,e n k a ɾ e s ˈe ɾ,543,660,82.27
50L_50NL_1_4,50L_50NL,1,e n k a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e n m o e s ˈe ɾ,0,660,0.0
50L_50NL_1_2,50L_50NL,1,e n m o e s ˈe ɾ,80,660,12.12
50L_50NL_1_3,50L_50NL,1,e n m o e s ˈe ɾ,76,660,11.52
50L_50NL_1_4,50L_50NL,1,e n m o e s ˈe ɾ,0,660,0.0
50L_50NL_1_1,50L_50NL,1,e n o ɾ ɡ u ʃ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,e n o ɾ ɡ u ʃ e s ˈe ɾ,462,660,70.0
50L_50NL_1_3,50L_50NL,1,e n o ɾ ɡ u ʃ e s ˈe ɾ,4,660,0.61
50L_50NL_1_4,50L_50NL,1,e n o ɾ ɡ u ʃ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e n t e ɾ n e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,e n t e ɾ n e s ˈe ɾ,506,660,76.67
50L_50NL_1_3,50L_50NL,1,e n t e ɾ n e s ˈe ɾ,400,660,60.61
50L_50NL_1_4,50L_50NL,1,e n t e ɾ n e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e n ɾ o x e s ˈe ɾ,384,660,58.18
50L_50NL_1_2,50L_50NL,1,e n ɾ o x e s ˈe ɾ,484,660,73.33
50L_50NL_1_3,50L_50NL,1,e n ɾ o x e s ˈe ɾ,535,660,81.06
50L_50NL_1_4,50L_50NL,1,e n ɾ o x e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,e s t a b l e s ˈe ɾ,660,660,100.0
